Contract,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,PaymentMethod,PaperlessBilling,Churn
Two year,22,DSL,No,Yes,56.75,Bank transfer (automatic),No,No
Month-to-month,7,Fiber optic,No,No,98.05,Bank transfer (automatic),Yes,Yes
Month-to-month,1,No,No internet service,No internet service,21.1,Mailed check,No,No
Month-to-month,59,Fiber optic,No,Yes,96.65,Bank transfer (automatic),Yes,No
One year,58,No,No internet service,No internet service,24.5,Credit card (automatic),Yes,No
Month-to-month,41,Fiber optic,Yes,Yes,114.5,Bank transfer (automatic),Yes,Yes
Two year,59,Fiber optic,No,No,79.2,Credit card (automatic),Yes,No
Month-to-month,3,Fiber optic,No,No,69.55,Electronic check,Yes,No
Two year,32,No,No internet service,No internet service,20.05,Bank transfer (automatic),Yes,No
Month-to-month,46,Fiber optic,No,No,98.85,Electronic check,Yes,No
Month-to-month,2,Fiber optic,No,No,80.95,Electronic check,Yes,Yes
One year,52,No,No internet service,No internet service,19.6,Credit card (automatic),No,No
Month-to-month,13,Fiber optic,No,No,74.3,Electronic check,Yes,Yes
Month-to-month,11,Fiber optic,No,No,89.7,Bank transfer (automatic),No,Yes
Month-to-month,32,Fiber optic,Yes,Yes,87.65,Bank transfer (automatic),No,No
Month-to-month,17,Fiber optic,No,No,100.45,Credit card (automatic),Yes,Yes
Month-to-month,16,Fiber optic,No,No,74.75,Credit card (automatic),Yes,No
One year,51,Fiber optic,Yes,No,107.45,Bank transfer (automatic),No,No
One year,29,DSL,No,Yes,75.35,Bank transfer (automatic),Yes,No
Two year,70,DSL,Yes,Yes,64.95,Credit card (automatic),No,No
Two year,71,Fiber optic,Yes,Yes,100.45,Electronic check,No,No
One year,41,DSL,No,No,68.5,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,80.55,Electronic check,Yes,No
Month-to-month,7,DSL,Yes,Yes,81.25,Bank transfer (automatic),No,No
One year,25,Fiber optic,No,No,90.4,Electronic check,Yes,Yes
One year,67,Fiber optic,Yes,Yes,89.55,Electronic check,No,No
Month-to-month,5,DSL,No,Yes,55.7,Mailed check,Yes,No
Month-to-month,15,No,No internet service,No internet service,24.8,Electronic check,Yes,No
Month-to-month,20,No,No internet service,No internet service,20.0,Electronic check,No,No
Month-to-month,3,DSL,No,No,56.15,Mailed check,Yes,Yes
One year,54,Fiber optic,No,Yes,105.2,Electronic check,Yes,No
One year,42,No,No internet service,No internet service,19.55,Mailed check,Yes,No
Month-to-month,9,Fiber optic,No,No,79.75,Electronic check,Yes,No
Two year,63,Fiber optic,No,No,97.45,Bank transfer (automatic),No,No
Two year,69,No,No internet service,No internet service,24.25,Bank transfer (automatic),No,No
Two year,69,No,No internet service,No internet service,24.6,Credit card (automatic),No,No
Month-to-month,40,DSL,No,No,50.15,Mailed check,Yes,No
Two year,60,DSL,Yes,No,39.6,Bank transfer (automatic),No,No
Month-to-month,4,Fiber optic,Yes,Yes,94.4,Bank transfer (automatic),Yes,Yes
Two year,71,DSL,Yes,Yes,89.85,Mailed check,No,No
Month-to-month,37,Fiber optic,No,No,78.95,Credit card (automatic),Yes,Yes
Month-to-month,32,Fiber optic,No,No,98.85,Credit card (automatic),Yes,No
Two year,39,DSL,No,Yes,53.85,Credit card (automatic),Yes,No
One year,38,No,No internet service,No internet service,24.25,Electronic check,Yes,No
Two year,52,Fiber optic,No,No,89.45,Credit card (automatic),Yes,No
Month-to-month,48,Fiber optic,Yes,No,105.25,Credit card (automatic),Yes,No
Two year,70,DSL,Yes,Yes,59.5,Bank transfer (automatic),No,No
Month-to-month,20,Fiber optic,No,No,70.55,Credit card (automatic),No,No
One year,50,DSL,Yes,Yes,82.5,Credit card (automatic),Yes,No
One year,19,DSL,No,No,44.85,Credit card (automatic),Yes,Yes
One year,25,DSL,Yes,No,61.6,Bank transfer (automatic),Yes,No
Month-to-month,12,DSL,No,No,49.05,Bank transfer (automatic),Yes,No
Month-to-month,39,Fiber optic,No,No,105.65,Electronic check,Yes,Yes
Month-to-month,7,Fiber optic,No,No,74.65,Mailed check,No,Yes
One year,23,DSL,Yes,Yes,66.25,Mailed check,Yes,No
Month-to-month,27,No,No internet service,No internet service,19.4,Electronic check,Yes,No
Month-to-month,47,Fiber optic,No,No,86.05,Credit card (automatic),Yes,No
Two year,26,No,No internet service,No internet service,19.15,Credit card (automatic),Yes,No
Month-to-month,14,DSL,Yes,No,64.7,Bank transfer (automatic),Yes,Yes
Month-to-month,11,Fiber optic,No,Yes,104.05,Bank transfer (automatic),Yes,Yes
Month-to-month,2,No,No internet service,No internet service,19.25,Mailed check,No,No
Month-to-month,26,Fiber optic,Yes,No,81.95,Electronic check,No,No
Two year,72,Fiber optic,Yes,Yes,114.65,Bank transfer (automatic),Yes,No
Two year,63,No,No internet service,No internet service,20.0,Credit card (automatic),No,No
Two year,71,No,No internet service,No internet service,19.8,Mailed check,No,No
Month-to-month,11,DSL,Yes,No,65.15,Bank transfer (automatic),Yes,No
One year,14,No,No internet service,No internet service,19.65,Mailed check,No,No
Two year,13,DSL,Yes,Yes,88.95,Credit card (automatic),No,No
Month-to-month,6,No,No internet service,No internet service,20.2,Mailed check,Yes,No
Month-to-month,11,Fiber optic,No,No,75.2,Credit card (automatic),Yes,No
Month-to-month,18,DSL,No,No,56.8,Credit card (automatic),No,No
Month-to-month,1,DSL,No,No,35.55,Electronic check,Yes,Yes
Month-to-month,32,Fiber optic,Yes,No,75.5,Bank transfer (automatic),Yes,No
One year,29,DSL,Yes,Yes,35.6,Mailed check,No,No
Month-to-month,3,DSL,No,No,60.25,Electronic check,Yes,No
Month-to-month,2,Fiber optic,No,No,95.15,Electronic check,Yes,Yes
Month-to-month,13,Fiber optic,No,No,96.65,Mailed check,Yes,Yes
Month-to-month,41,DSL,No,No,40.35,Electronic check,Yes,No
Month-to-month,1,No,No internet service,No internet service,18.85,Electronic check,No,No
Month-to-month,7,DSL,No,No,54.85,Mailed check,No,No
One year,52,DSL,Yes,No,64.3,Mailed check,Yes,No
Two year,45,No,No internet service,No internet service,24.65,Bank transfer (automatic),Yes,No
Two year,70,DSL,No,Yes,76.1,Credit card (automatic),No,No
Two year,53,No,No internet service,No internet service,18.7,Mailed check,No,No
One year,62,Fiber optic,No,No,97.95,Credit card (automatic),Yes,No
Month-to-month,60,Fiber optic,Yes,No,94.1,Credit card (automatic),Yes,No
Month-to-month,3,Fiber optic,No,No,80.4,Electronic check,Yes,Yes
Month-to-month,23,Fiber optic,Yes,No,95.1,Electronic check,Yes,No
Month-to-month,1,DSL,No,No,31.35,Mailed check,Yes,Yes
One year,67,DSL,Yes,Yes,72.35,Bank transfer (automatic),Yes,No
Month-to-month,12,Fiber optic,No,No,89.75,Bank transfer (automatic),Yes,Yes
Two year,71,DSL,Yes,Yes,82.7,Bank transfer (automatic),Yes,No
One year,25,No,No internet service,No internet service,19.9,Credit card (automatic),No,No
Month-to-month,5,DSL,Yes,No,53.8,Electronic check,Yes,No
One year,26,DSL,No,No,51.55,Credit card (automatic),Yes,No
One year,1,No,No internet service,No internet service,19.65,Mailed check,No,No
One year,70,DSL,No,No,44.05,Credit card (automatic),Yes,No
Two year,72,Fiber optic,Yes,Yes,114.0,Electronic check,Yes,No
One year,60,Fiber optic,No,No,94.4,Electronic check,Yes,Yes
Month-to-month,32,Fiber optic,No,No,100.4,Electronic check,Yes,No
Month-to-month,1,No,No internet service,No internet service,19.85,Electronic check,Yes,Yes
One year,14,DSL,No,No,54.25,Mailed check,Yes,No
Month-to-month,13,Fiber optic,Yes,No,80.0,Credit card (automatic),Yes,No
Month-to-month,6,Fiber optic,No,Yes,109.9,Credit card (automatic),Yes,Yes
Two year,46,DSL,Yes,No,79.2,Mailed check,No,No
Month-to-month,15,Fiber optic,No,Yes,101.35,Electronic check,Yes,Yes
Month-to-month,43,Fiber optic,No,Yes,94.3,Electronic check,Yes,No
Two year,39,DSL,No,Yes,49.8,Bank transfer (automatic),Yes,No
Month-to-month,21,DSL,No,No,60.05,Bank transfer (automatic),Yes,Yes
Month-to-month,57,DSL,Yes,No,53.75,Electronic check,Yes,No
One year,53,Fiber optic,No,Yes,93.45,Electronic check,Yes,No
Month-to-month,18,Fiber optic,Yes,No,87.9,Mailed check,Yes,No
Month-to-month,1,DSL,No,No,60.15,Electronic check,Yes,Yes
One year,58,DSL,Yes,Yes,61.05,Bank transfer (automatic),Yes,No
Two year,71,Fiber optic,No,No,104.05,Bank transfer (automatic),No,No
One year,35,Fiber optic,No,Yes,99.25,Electronic check,Yes,No
Month-to-month,3,Fiber optic,No,No,85.7,Credit card (automatic),No,No
One year,38,Fiber optic,Yes,No,104.85,Electronic check,Yes,No
Two year,35,DSL,Yes,Yes,69.15,Credit card (automatic),Yes,No
Month-to-month,7,Fiber optic,No,No,90.45,Electronic check,Yes,Yes
Two year,47,DSL,No,Yes,74.45,Mailed check,No,No
Month-to-month,14,DSL,No,No,50.45,Electronic check,No,No
Month-to-month,20,DSL,No,No,60.0,Electronic check,Yes,No
Two year,66,DSL,Yes,Yes,85.25,Electronic check,No,No
Month-to-month,15,No,No internet service,No internet service,19.45,Credit card (automatic),Yes,No
Two year,42,No,No internet service,No internet service,20.75,Bank transfer (automatic),Yes,No
Month-to-month,17,Fiber optic,Yes,No,78.9,Electronic check,No,No
One year,37,Fiber optic,No,Yes,104.5,Credit card (automatic),Yes,No
Month-to-month,12,DSL,No,No,49.4,Electronic check,Yes,No
One year,53,Fiber optic,No,No,94.25,Bank transfer (automatic),Yes,Yes
Two year,60,No,No internet service,No internet service,25.0,Mailed check,No,No
Month-to-month,18,DSL,No,No,25.55,Credit card (automatic),No,No
Month-to-month,1,Fiber optic,No,No,74.9,Electronic check,Yes,Yes
Month-to-month,3,Fiber optic,No,No,70.15,Electronic check,Yes,No
Month-to-month,9,DSL,No,Yes,69.4,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,80.25,Electronic check,Yes,Yes
One year,56,Fiber optic,Yes,No,93.15,Electronic check,Yes,No
Month-to-month,17,Fiber optic,No,No,69.0,Electronic check,Yes,Yes
Month-to-month,11,DSL,No,Yes,66.35,Electronic check,Yes,Yes
Month-to-month,7,Fiber optic,No,No,69.55,Electronic check,Yes,No
Two year,69,No,No internet service,No internet service,20.2,Bank transfer (automatic),No,No
Month-to-month,19,Fiber optic,No,No,86.0,Bank transfer (automatic),Yes,Yes
Month-to-month,3,Fiber optic,No,No,80.3,Electronic check,Yes,Yes
Two year,54,No,No internet service,No internet service,20.4,Credit card (automatic),No,No
One year,62,No,No internet service,No internet service,23.75,Credit card (automatic),Yes,No
Month-to-month,24,Fiber optic,No,No,90.55,Credit card (automatic),Yes,Yes
Month-to-month,62,DSL,No,No,70.45,Credit card (automatic),Yes,No
Month-to-month,17,DSL,Yes,No,65.75,Bank transfer (automatic),No,No
Month-to-month,9,DSL,No,No,24.6,Mailed check,Yes,No
Two year,64,DSL,Yes,Yes,69.25,Mailed check,No,No
Month-to-month,2,Fiber optic,No,No,75.9,Electronic check,Yes,Yes
Month-to-month,1,DSL,No,No,45.85,Mailed check,Yes,Yes
Month-to-month,16,DSL,No,Yes,49.95,Electronic check,Yes,Yes
Two year,72,No,No internet service,No internet service,24.65,Bank transfer (automatic),No,No
One year,30,Fiber optic,Yes,No,90.4,Bank transfer (automatic),No,No
Month-to-month,49,Fiber optic,Yes,No,100.85,Mailed check,Yes,No
Two year,61,DSL,Yes,Yes,75.35,Credit card (automatic),No,No
Month-to-month,47,Fiber optic,No,No,87.2,Electronic check,No,No
Month-to-month,20,DSL,Yes,No,64.4,Credit card (automatic),No,No
Month-to-month,34,Fiber optic,No,No,78.3,Electronic check,No,Yes
Two year,70,No,No internet service,No internet service,24.7,Bank transfer (automatic),No,No
One year,54,Fiber optic,Yes,Yes,105.85,Electronic check,Yes,No
One year,61,Fiber optic,No,Yes,98.3,Mailed check,Yes,No
Month-to-month,3,Fiber optic,No,No,76.95,Electronic check,Yes,Yes
One year,13,No,No internet service,No internet service,19.45,Mailed check,No,No
Month-to-month,16,Fiber optic,No,No,96.15,Electronic check,Yes,Yes
Month-to-month,3,DSL,No,No,58.7,Credit card (automatic),Yes,No
Month-to-month,25,No,No internet service,No internet service,20.15,Mailed check,Yes,No
Month-to-month,30,DSL,Yes,No,64.5,Mailed check,Yes,No
Month-to-month,21,DSL,Yes,No,28.5,Electronic check,No,No
Month-to-month,1,DSL,No,No,45.3,Electronic check,No,Yes
Month-to-month,15,No,No internet service,No internet service,19.4,Bank transfer (automatic),No,Yes
Month-to-month,23,Fiber optic,No,No,90.45,Electronic check,Yes,No
Month-to-month,45,Fiber optic,Yes,No,105.15,Electronic check,Yes,No
One year,24,Fiber optic,No,No,83.15,Bank transfer (automatic),No,No
Month-to-month,11,Fiber optic,No,Yes,90.15,Electronic check,No,Yes
Month-to-month,1,DSL,No,No,45.05,Mailed check,No,Yes
Two year,56,Fiber optic,No,Yes,103.2,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,75.8,Electronic check,No,Yes
Month-to-month,1,No,No internet service,No internet service,19.45,Electronic check,No,No
Month-to-month,7,Fiber optic,No,No,79.3,Electronic check,Yes,Yes
Two year,55,Fiber optic,No,Yes,88.8,Credit card (automatic),No,No
Month-to-month,2,DSL,No,Yes,30.9,Electronic check,Yes,Yes
Two year,72,DSL,Yes,Yes,85.9,Credit card (automatic),Yes,No
One year,45,DSL,No,No,34.2,Electronic check,No,No
Two year,47,No,No internet service,No internet service,20.15,Mailed check,No,No
One year,46,Fiber optic,No,No,95.25,Credit card (automatic),No,Yes
Month-to-month,2,DSL,No,No,50.3,Mailed check,Yes,No
Month-to-month,2,Fiber optic,Yes,Yes,80.15,Electronic check,Yes,No
Month-to-month,12,DSL,No,No,51.25,Electronic check,Yes,No
Month-to-month,68,Fiber optic,No,No,89.6,Bank transfer (automatic),Yes,Yes
Two year,69,Fiber optic,No,Yes,95.2,Credit card (automatic),Yes,No
One year,56,Fiber optic,Yes,No,94.8,Credit card (automatic),No,No
Month-to-month,4,Fiber optic,Yes,No,80.25,Electronic check,Yes,No
Two year,64,DSL,No,Yes,76.1,Bank transfer (automatic),Yes,No
One year,59,Fiber optic,Yes,No,110.15,Electronic check,Yes,Yes
Two year,62,Fiber optic,Yes,Yes,115.55,Bank transfer (automatic),No,No
Two year,63,No,No internet service,No internet service,24.65,Credit card (automatic),No,No
One year,53,DSL,Yes,Yes,53.6,Electronic check,Yes,No
Month-to-month,5,No,No internet service,No internet service,19.45,Mailed check,No,No
Month-to-month,49,Fiber optic,Yes,No,88.2,Electronic check,Yes,No
Two year,62,Fiber optic,Yes,No,101.15,Bank transfer (automatic),Yes,No
Two year,55,DSL,Yes,Yes,56.8,Mailed check,No,No
Two year,71,Fiber optic,Yes,Yes,99.4,Electronic check,Yes,No
Two year,72,No,No internet service,No internet service,20.1,Credit card (automatic),Yes,No
One year,36,DSL,Yes,Yes,60.7,Credit card (automatic),No,No
One year,25,No,No internet service,No internet service,20.95,Bank transfer (automatic),Yes,No
Two year,72,Fiber optic,Yes,Yes,114.85,Bank transfer (automatic),Yes,No
One year,36,No,No internet service,No internet service,19.25,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,No,No,62.8,Mailed check,Yes,No
Two year,72,Fiber optic,Yes,No,105.5,Electronic check,Yes,No
Two year,59,No,No internet service,No internet service,19.85,Mailed check,No,No
Month-to-month,7,Fiber optic,No,No,89.5,Electronic check,Yes,Yes
One year,1,DSL,No,Yes,74.1,Credit card (automatic),No,No
Month-to-month,30,Fiber optic,No,Yes,107.5,Electronic check,Yes,No
Two year,64,No,No internet service,No internet service,19.55,Mailed check,No,No
One year,63,DSL,Yes,Yes,68.8,Bank transfer (automatic),No,No
Two year,72,DSL,Yes,No,84.45,Credit card (automatic),No,No
Month-to-month,8,Fiber optic,Yes,No,75.0,Electronic check,No,Yes
Two year,62,DSL,No,Yes,84.5,Bank transfer (automatic),No,No
Two year,67,Fiber optic,No,Yes,111.2,Bank transfer (automatic),Yes,No
Month-to-month,6,DSL,No,No,44.75,Electronic check,No,Yes
Two year,70,DSL,Yes,Yes,80.6,Bank transfer (automatic),Yes,No
Month-to-month,20,Fiber optic,No,No,80.7,Bank transfer (automatic),No,No
Month-to-month,5,Fiber optic,No,No,75.6,Electronic check,No,No
One year,24,DSL,Yes,No,57.6,Electronic check,No,No
Month-to-month,11,DSL,No,No,44.05,Electronic check,Yes,Yes
Two year,72,Fiber optic,No,Yes,110.6,Credit card (automatic),Yes,No
Two year,66,DSL,Yes,Yes,58.2,Credit card (automatic),Yes,No
Two year,45,DSL,Yes,Yes,81.0,Mailed check,Yes,No
Two year,69,No,No internet service,No internet service,19.7,Bank transfer (automatic),No,No
Month-to-month,15,Fiber optic,No,No,85.6,Bank transfer (automatic),Yes,Yes
Month-to-month,28,DSL,No,No,59.55,Bank transfer (automatic),Yes,No
One year,70,Fiber optic,Yes,Yes,115.55,Credit card (automatic),No,Yes
One year,36,DSL,Yes,Yes,75.55,Mailed check,Yes,No
Month-to-month,16,Fiber optic,No,No,86.6,Electronic check,Yes,Yes
Month-to-month,18,Fiber optic,No,No,85.2,Electronic check,Yes,Yes
Month-to-month,34,Fiber optic,No,No,97.65,Electronic check,Yes,Yes
One year,42,DSL,No,No,45.1,Credit card (automatic),Yes,No
One year,48,DSL,Yes,Yes,70.95,Bank transfer (automatic),Yes,No
Month-to-month,47,Fiber optic,No,Yes,109.55,Electronic check,Yes,Yes
One year,39,Fiber optic,No,Yes,89.55,Electronic check,Yes,Yes
Two year,11,No,No internet service,No internet service,20.9,Credit card (automatic),No,No
Month-to-month,7,No,No internet service,No internet service,19.95,Mailed check,Yes,No
Month-to-month,3,No,No internet service,No internet service,24.6,Mailed check,No,No
Month-to-month,8,DSL,Yes,No,66.7,Electronic check,Yes,No
Month-to-month,1,No,No internet service,No internet service,19.45,Mailed check,Yes,Yes
One year,32,Fiber optic,Yes,No,94.8,Mailed check,No,No
One year,60,DSL,Yes,Yes,65.85,Bank transfer (automatic),Yes,No
Month-to-month,10,No,No internet service,No internet service,19.95,Bank transfer (automatic),Yes,No
Two year,71,No,No internet service,No internet service,24.65,Bank transfer (automatic),Yes,No
Month-to-month,4,No,No internet service,No internet service,20.35,Mailed check,No,Yes
Month-to-month,1,Fiber optic,No,No,69.25,Electronic check,Yes,Yes
One year,43,DSL,Yes,Yes,51.25,Bank transfer (automatic),Yes,No
One year,59,Fiber optic,No,No,99.5,Bank transfer (automatic),Yes,Yes
Month-to-month,23,DSL,No,Yes,54.25,Electronic check,No,No
Two year,72,No,No internet service,No internet service,19.4,Bank transfer (automatic),No,No
One year,22,DSL,Yes,Yes,56.25,Credit card (automatic),Yes,No
Month-to-month,1,DSL,No,No,25.15,Mailed check,Yes,No
Two year,69,No,No internet service,No internet service,23.95,Bank transfer (automatic),No,No
One year,50,DSL,Yes,Yes,35.4,Mailed check,Yes,No
Month-to-month,1,DSL,No,No,25.2,Electronic check,Yes,Yes
Month-to-month,2,DSL,No,No,45.0,Mailed check,Yes,Yes
Month-to-month,15,Fiber optic,No,No,75.35,Bank transfer (automatic),No,No
Two year,31,No,No internet service,No internet service,20.4,Bank transfer (automatic),No,No
Month-to-month,1,No,No internet service,No internet service,20.15,Mailed check,No,Yes
Month-to-month,66,Fiber optic,No,No,105.0,Credit card (automatic),Yes,Yes
Month-to-month,3,DSL,No,No,54.7,Credit card (automatic),Yes,Yes
Two year,8,No,No internet service,No internet service,20.0,Mailed check,No,No
One year,64,DSL,Yes,No,73.05,Credit card (automatic),Yes,No
Month-to-month,28,No,No internet service,No internet service,20.5,Mailed check,No,No
One year,57,Fiber optic,No,No,100.75,Credit card (automatic),Yes,No
Month-to-month,14,Fiber optic,No,No,87.25,Electronic check,Yes,Yes
Two year,19,No,No internet service,No internet service,19.95,Mailed check,Yes,No
Month-to-month,10,Fiber optic,No,No,79.95,Electronic check,Yes,Yes
Month-to-month,51,DSL,No,No,49.65,Electronic check,Yes,No
Two year,67,DSL,Yes,No,65.65,Mailed check,No,No
Month-to-month,11,No,No internet service,No internet service,20.45,Electronic check,Yes,No
Two year,72,DSL,Yes,Yes,60.95,Bank transfer (automatic),No,No
One year,66,No,No internet service,No internet service,20.35,Electronic check,Yes,No
Month-to-month,18,Fiber optic,No,Yes,88.35,Electronic check,Yes,Yes
Month-to-month,9,No,No internet service,No internet service,19.5,Electronic check,Yes,No
Month-to-month,9,Fiber optic,No,No,75.2,Credit card (automatic),Yes,No
Month-to-month,48,Fiber optic,Yes,No,111.45,Bank transfer (automatic),Yes,No
Month-to-month,10,Fiber optic,No,No,70.15,Mailed check,No,No
Month-to-month,9,Fiber optic,No,No,94.75,Electronic check,Yes,Yes
Month-to-month,13,Fiber optic,No,No,95.05,Electronic check,Yes,Yes
Month-to-month,4,Fiber optic,No,No,78.45,Electronic check,No,Yes
Month-to-month,4,Fiber optic,No,No,70.2,Electronic check,Yes,Yes
Two year,72,DSL,Yes,Yes,92.0,Bank transfer (automatic),No,No
Two year,51,DSL,Yes,Yes,85.5,Credit card (automatic),No,No
Month-to-month,59,DSL,No,No,41.05,Bank transfer (automatic),Yes,Yes
Month-to-month,10,Fiber optic,No,No,85.6,Electronic check,Yes,Yes
Month-to-month,61,Fiber optic,No,No,82.15,Electronic check,Yes,No
One year,54,Fiber optic,Yes,Yes,84.4,Electronic check,No,No
Month-to-month,33,DSL,Yes,No,60.9,Mailed check,Yes,No
Two year,27,No,No internet service,No internet service,20.25,Bank transfer (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,79.2,Electronic check,Yes,Yes
Month-to-month,23,Fiber optic,No,No,95.3,Mailed check,No,No
Month-to-month,1,No,No internet service,No internet service,19.85,Mailed check,No,No
Two year,45,DSL,Yes,Yes,84.35,Mailed check,Yes,No
Two year,39,No,No internet service,No internet service,19.85,Bank transfer (automatic),Yes,No
One year,5,DSL,No,No,70.0,Mailed check,Yes,Yes
Two year,72,DSL,Yes,Yes,82.3,Bank transfer (automatic),No,No
Month-to-month,58,DSL,No,No,66.8,Bank transfer (automatic),Yes,No
Two year,70,DSL,Yes,Yes,44.6,Bank transfer (automatic),Yes,No
One year,61,Fiber optic,No,Yes,98.45,Bank transfer (automatic),Yes,No
Month-to-month,2,Fiber optic,No,No,70.7,Mailed check,No,No
One year,46,No,No internet service,No internet service,24.95,Mailed check,No,No
Month-to-month,1,DSL,No,No,49.95,Bank transfer (automatic),Yes,Yes
Month-to-month,22,Fiber optic,No,No,69.25,Electronic check,Yes,Yes
Two year,48,Fiber optic,Yes,Yes,102.5,Credit card (automatic),Yes,No
Two year,64,DSL,No,Yes,86.55,Credit card (automatic),No,No
Two year,72,No,No internet service,No internet service,24.3,Bank transfer (automatic),No,No
Month-to-month,12,DSL,No,No,58.35,Credit card (automatic),Yes,No
Month-to-month,34,Fiber optic,No,No,94.25,Electronic check,Yes,Yes
Two year,72,DSL,Yes,No,68.75,Credit card (automatic),No,No
Month-to-month,29,Fiber optic,No,No,85.8,Electronic check,Yes,No
One year,33,No,No internet service,No internet service,20.1,Credit card (automatic),No,No
Month-to-month,1,No,No internet service,No internet service,20.35,Mailed check,No,No
One year,62,Fiber optic,No,Yes,110.8,Electronic check,Yes,No
One year,41,DSL,No,No,73.0,Electronic check,Yes,Yes
One year,64,Fiber optic,No,No,100.05,Credit card (automatic),Yes,Yes
Month-to-month,4,Fiber optic,No,No,82.85,Credit card (automatic),Yes,No
Month-to-month,24,Fiber optic,Yes,Yes,84.35,Electronic check,Yes,No
One year,14,No,No internet service,No internet service,19.55,Mailed check,No,No
Month-to-month,3,No,No internet service,No internet service,19.95,Mailed check,No,No
Month-to-month,4,Fiber optic,No,No,99.8,Credit card (automatic),Yes,Yes
Month-to-month,18,DSL,No,No,35.0,Electronic check,Yes,Yes
Month-to-month,8,DSL,No,No,66.25,Electronic check,Yes,No
Two year,35,No,No internet service,No internet service,23.3,Bank transfer (automatic),No,No
Month-to-month,1,Fiber optic,No,No,76.0,Electronic check,No,Yes
Two year,66,No,No internet service,No internet service,25.3,Credit card (automatic),Yes,No
Two year,8,DSL,Yes,Yes,44.55,Mailed check,Yes,No
One year,71,Fiber optic,Yes,No,104.1,Credit card (automatic),Yes,No
Month-to-month,43,Fiber optic,No,No,92.55,Bank transfer (automatic),Yes,No
Month-to-month,2,Fiber optic,No,No,93.85,Electronic check,Yes,Yes
Month-to-month,29,Fiber optic,No,No,101.45,Bank transfer (automatic),Yes,No
Month-to-month,15,Fiber optic,No,No,84.3,Electronic check,Yes,Yes
Two year,65,Fiber optic,Yes,Yes,94.55,Credit card (automatic),No,No
Month-to-month,35,Fiber optic,No,Yes,95.5,Electronic check,No,No
One year,64,Fiber optic,Yes,No,100.3,Credit card (automatic),Yes,No
Two year,58,DSL,No,Yes,55.5,Credit card (automatic),Yes,No
Month-to-month,18,DSL,No,No,49.85,Credit card (automatic),Yes,No
Month-to-month,67,Fiber optic,No,No,89.55,Bank transfer (automatic),Yes,No
Two year,63,No,No internet service,No internet service,19.15,Mailed check,Yes,No
Month-to-month,60,Fiber optic,No,No,99.8,Electronic check,Yes,No
Month-to-month,9,Fiber optic,No,No,84.4,Credit card (automatic),Yes,Yes
Two year,70,Fiber optic,Yes,Yes,113.05,Credit card (automatic),Yes,No
Month-to-month,15,Fiber optic,No,No,101.1,Electronic check,Yes,Yes
One year,48,No,No internet service,No internet service,19.95,Mailed check,No,No
Month-to-month,12,DSL,No,Yes,74.15,Electronic check,Yes,No
One year,71,Fiber optic,Yes,Yes,92.0,Electronic check,Yes,No
Month-to-month,44,Fiber optic,No,No,73.85,Electronic check,No,No
Month-to-month,1,DSL,No,No,50.45,Electronic check,Yes,Yes
Two year,45,No,No internet service,No internet service,24.45,Mailed check,No,No
One year,23,No,No internet service,No internet service,24.8,Credit card (automatic),No,No
One year,43,DSL,No,Yes,64.85,Bank transfer (automatic),Yes,No
Month-to-month,35,No,No internet service,No internet service,20.75,Bank transfer (automatic),No,No
Month-to-month,9,DSL,Yes,Yes,68.95,Mailed check,Yes,No
Month-to-month,12,Fiber optic,No,Yes,99.95,Mailed check,Yes,Yes
Month-to-month,65,Fiber optic,Yes,No,109.4,Credit card (automatic),Yes,No
Month-to-month,2,Fiber optic,No,No,91.4,Electronic check,Yes,Yes
Month-to-month,27,DSL,No,No,49.0,Mailed check,No,No
One year,40,DSL,No,No,50.25,Mailed check,Yes,No
Month-to-month,5,Fiber optic,No,No,75.55,Credit card (automatic),Yes,Yes
One year,8,No,No internet service,No internet service,19.9,Credit card (automatic),No,No
One year,58,Fiber optic,No,No,97.8,Bank transfer (automatic),Yes,No
One year,52,Fiber optic,Yes,No,100.3,Electronic check,No,No
Month-to-month,3,DSL,No,Yes,55.8,Mailed check,Yes,No
Two year,41,Fiber optic,Yes,Yes,111.15,Electronic check,Yes,No
Month-to-month,20,Fiber optic,No,Yes,98.55,Mailed check,Yes,No
Month-to-month,1,DSL,No,No,50.05,Electronic check,Yes,No
Month-to-month,4,Fiber optic,No,Yes,80.8,Credit card (automatic),No,Yes
Month-to-month,23,No,No internet service,No internet service,20.85,Electronic check,No,No
Month-to-month,6,No,No internet service,No internet service,19.5,Bank transfer (automatic),No,No
Month-to-month,8,No,No internet service,No internet service,19.35,Mailed check,Yes,No
Month-to-month,18,DSL,Yes,No,69.5,Mailed check,No,No
Month-to-month,52,DSL,Yes,No,48.8,Credit card (automatic),Yes,No
Month-to-month,31,Fiber optic,No,No,94.5,Electronic check,Yes,No
Month-to-month,29,No,No internet service,No internet service,20.65,Mailed check,Yes,No
Two year,36,Fiber optic,Yes,Yes,106.05,Credit card (automatic),Yes,No
Month-to-month,16,Fiber optic,No,No,100.0,Electronic check,Yes,Yes
